,Pattern,Relative SUP,local_interest_17,local_criterion_17,local_interest_28,local_criterion_28,local_interest_77,local_criterion_77,local_interest_81,local_criterion_81,local_interest_78,local_criterion_78
369,"[16, 17, 18, 19, 20, 21, 22, 28]",0.6640053226879574,0,0,0,0,0,0,0,0,0.18222011499971702,0.12099512626062381
371,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.6161011310711909,0,0,0,0,0,0,0,0,0.2126960114858003,0.13104225325073257
379,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.25149700598802394,0,0,0,0,0,0,0,0,0.24754081580428877,0.06225577403461154
372,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 32]",0.20026613439787092,0,0,0,0,0,0,0,0,0.041248643064747736,0.008260706295734577
373,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35]",0.4198270126413839,0,0,0,0,0,0,0,0,0.29337712603688393,0.12316764240137974
374,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36]",0.4198270126413839,0,0,0,0,0,0,0,0,0.29337712603688393,0.12316764240137974
375,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37]",0.37524950099800397,0,0,0,0,0,0,0,0,0.28153957367847926,0.10564758453404012
376,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.35395874916833003,0,0,0,0,0,0,0,0,0.27537964364311673,0.09747303421033807
377,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.3213572854291417,0,0,0,0,0,0,0,0,0.2858369282939498,0.09185577935194794
378,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.27478376580172986,0,0,0,0,0,0,0,0,0.2651645066674163,0.07286290169903056
480,"[29, 31, 35]",0.8178506375227687,0,0,0,0,0,0,0,0,0.07744017847077589,0.06333449933220105
482,"[29, 31, 35, 36, 37]",0.7331511839708561,0,0,0,0,0,0,0,0,0.06428088444858515,0.047127606540174
1,"[1, 2, 3]",0.9177023849512932,0,0,0,0,0,0,0,0,0.022080582661311104,0.02026340336939937
483,"[29, 31, 35, 36, 37, 38]",0.6939890710382514,0,0,0,0,0,0,0,0,0.0598281662391732,0.04152009351024588
584,"[74, 77, 78, 79, 80, 81, 82, 83, 84, 85]",0.5944380069524913,0,0,0,0,0,0,0,0,0.14947856315179608,0.08885573916207577
585,"[74, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",0.5851680185399768,0,0,0,0,0,0,0,0,0.14947856315179608,0.0874700746137393
586,"[74, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]",0.5805330243337196,0,0,0,0,0,0,0,0,0.14947856315179608,0.08677724233957107
587,"[77, 78]",0.9645203679369251,0,0,0,0,0,0,0,0,0.03547963206307492,0.03422082777174374
588,"[77, 78, 79]",0.9605781865965834,0,0,0,0,0,0,0,0,0.03547963206307492,0.034080960628262505
589,"[77, 78, 79, 80]",0.9592641261498029,0,0,0,0,0,0,0,0,0.03547963206307492,0.03403433824710209
590,"[77, 78, 79, 80, 81]",0.9040735873850198,0,0,0,0,0,0,0,0,0.03547963206307492,0.03207619823836471
591,"[77, 78, 79, 80, 81, 82]",0.812089356110381,0,0,0,0,0,0,0,0,0.03547963206307492,0.02881263155713574
592,"[77, 78, 79, 80, 81, 82, 83]",0.8107752956636005,0,0,0,0,0,0,0,0,0.03547963206307492,0.028766009175975327
593,"[77, 78, 79, 80, 81, 82, 83, 84]",0.8107752956636005,0,0,0,0,0,0,0,0,0.03547963206307492,0.028766009175975327
594,"[77, 78, 79, 80, 81, 82, 83, 84, 85]",0.8042049934296978,0,0,0,0,0,0,0,0,0.03547963206307492,0.028532897270173257
595,"[77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",0.7910643889618922,0,0,0,0,0,0,0,0,0.03547963206307492,0.02806667345856912
596,"[77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]",0.7805519053876478,0,0,0,0,0,0,0,0,0.03547963206307492,0.02769369440928581
597,"[78, 79]",0.997275204359673,0,0,0,0,0,0,0,0,0.0,0.0
598,"[78, 79, 80]",0.9945504087193461,0,0,0,0,0,0,0,0,0.0,0.0
599,"[78, 79, 80, 81]",0.9373297002724795,0,0,0,0,0,0,0,0,0.0,0.0
