,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
486,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5862068965517241,0,0,0,0,0,0,0.2364532019704434,0.13861049770681164
487,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.5073891625615764,0,0,0,0,0,0,0.2364532019704434,0.11997379213278656
488,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.5073891625615764,0,0,0,0,0,0,0.2364532019704434,0.11997379213278656
489,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.5073891625615764,0,0,0,0,0,0,0.2364532019704434,0.11997379213278656
490,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",0.5073891625615764,0,0,0,0,0,0,0.2364532019704434,0.11997379213278656
491,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.4975369458128079,0,0,0,0,0,0,0.2364532019704434,0.11764420393603342
492,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.4975369458128079,0,0,0,0,0,0,0.2364532019704434,0.11764420393603342
493,"[19, 20]",1.0,0,0,0,0,0,0,0.0,0.0
495,"[19, 20, 21, 22]",0.9900497512437811,0,0,0,0,0,0,0.007750193754843981,0.00767307739907439
504,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.7661691542288557,0,0,0,0,0,0,0.16392065645796994,0.12559095071904164
496,"[19, 20, 21, 22, 23]",0.9900497512437811,0,0,0,0,0,0,0.007750193754843981,0.00767307739907439
497,"[19, 20, 21, 22, 23, 24]",0.9203980099502488,0,0,0,0,0,0,0.06669355923087261,0.0613846191925942
498,"[19, 20, 21, 22, 23, 24, 25]",0.9154228855721394,0,0,0,0,0,0,0.06581224313216538,0.060246033514022045
499,"[19, 20, 21, 22, 23, 24, 25, 26]",0.9154228855721394,0,0,0,0,0,0,0.06581224313216538,0.060246033514022045
500,"[19, 20, 21, 22, 23, 24, 25, 26, 27]",0.9154228855721394,0,0,0,0,0,0,0.06581224313216538,0.060246033514022045
501,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.8407960199004975,0,0,0,0,0,0,0.14009832494333085,0.11779411400707916
502,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.7661691542288557,0,0,0,0,0,0,0.16392065645796994,0.12559095071904164
503,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.7661691542288557,0,0,0,0,0,0,0.16392065645796994,0.12559095071904164
441,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
439,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.660377358490566,0,0,0,0,0,0,0.18315363881401636,0.12095051619793533
527,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
384,"[13, 14, 15, 16, 17, 18, 19, 20]",0.7934272300469484,0,0,0,0,0,0,0.03561407895102375,0.028257180012784107
376,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.45871559633027525,0,0,0,0,0,0,0.28899082568807344,0.13256459893948325
377,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.45871559633027525,0,0,0,0,0,0,0.28899082568807344,0.13256459893948325
378,"[13, 14]",0.9953051643192489,0,0,0,0,0,0,0.003432544955266126,0.00341642972073436
379,"[13, 14, 15]",0.9953051643192489,0,0,0,0,0,0,0.003432544955266126,0.00341642972073436
380,"[13, 14, 15, 16]",0.9953051643192489,0,0,0,0,0,0,0.003432544955266126,0.00341642972073436
381,"[13, 14, 15, 16, 17]",0.9530516431924883,0,0,0,0,0,0,0.035847267513124725,0.03416429720734422
382,"[13, 14, 15, 16, 17, 18]",0.8028169014084507,0,0,0,0,0,0,0.026686434395848724,0.021424320571315172
383,"[13, 14, 15, 16, 17, 18, 19]",0.7934272300469484,0,0,0,0,0,0,0.03561407895102375,0.028257180012784107
385,"[13, 14, 15, 16, 17, 18, 19, 20, 21]",0.784037558685446,0,0,0,0,0,0,0.044755559303927384,0.03509003945425292
374,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.46788990825688076,0,0,0,0,0,0,0.28899082568807344,0.1352158909182729
386,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.784037558685446,0,0,0,0,0,0,0.044755559303927384,0.03509003945425292
387,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.784037558685446,0,0,0,0,0,0,0.044755559303927384,0.03509003945425292
388,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.7276995305164319,0,0,0,0,0,0,0.10455853399969717,0.07608719610306601
389,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.7230046948356808,0,0,0,0,0,0,0.10346930065239923,0.07480879014304921
390,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.7230046948356808,0,0,0,0,0,0,0.10346930065239923,0.07480879014304921
391,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.7230046948356808,0,0,0,0,0,0,0.10346930065239923,0.07480879014304921
392,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.6572769953051644,0,0,0,0,0,0,0.1865861837692825,0.12263880623333122
393,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.596244131455399,0,0,0,0,0,0,0.20930834349931604,0.124798871476118
375,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",0.46788990825688076,0,0,0,0,0,0,0.28899082568807344,0.1352158909182729
373,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.46788990825688076,0,0,0,0,0,0,0.28899082568807344,0.1352158909182729
395,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.596244131455399,0,0,0,0,0,0,0.20930834349931604,0.124798871476118
362,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7614678899082569,0,0,0,0,0,0,0.06007516303747107,0.0457453076340376
354,"[12, 13, 14, 15]",0.9678899082568807,0,0,0,0,0,0,0.018848645593286806,0.018243413854052825
355,"[12, 13, 14, 15, 16]",0.9678899082568807,0,0,0,0,0,0,0.018848645593286806,0.018243413854052825
356,"[12, 13, 14, 15, 16, 17]",0.926605504587156,0,0,0,0,0,0,0.05136706331183594,0.04759700361922412
357,"[12, 13, 14, 15, 16, 17, 18]",0.7798165137614679,0,0,0,0,0,0,0.04193200215866166,0.03269926773840588
358,"[12, 13, 14, 15, 16, 17, 18, 19]",0.7706422018348624,0,0,0,0,0,0,0.0508955875928353,0.0392222876862217
359,"[12, 13, 14, 15, 16, 17, 18, 19, 20]",0.7706422018348624,0,0,0,0,0,0,0.0508955875928353,0.0392222876862217
360,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.7614678899082569,0,0,0,0,0,0,0.06007516303747107,0.0457453076340376
361,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.7614678899082569,0,0,0,0,0,0,0.06007516303747107,0.0457453076340376
363,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.7064220183486238,0,0,0,0,0,0,0.12015965685690455,0.08488342732093257
372,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.46788990825688076,0,0,0,0,0,0,0.28899082568807344,0.1352158909182729
364,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.7018348623853211,0,0,0,0,0,0,0.11905618516519767,0.08355778133153781
365,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.7018348623853211,0,0,0,0,0,0,0.11905618516519767,0.08355778133153781
366,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.7018348623853211,0,0,0,0,0,0,0.11905618516519767,0.08355778133153781
367,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.6376146788990825,0,0,0,0,0,0,0.20265989043627497,0.1292189209662487
368,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.5779816513761468,0,0,0,0,0,0,0.22549876219600995,0.13033414695732684
369,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.5779816513761468,0,0,0,0,0,0,0.22549876219600995,0.13033414695732684
370,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.5779816513761468,0,0,0,0,0,0,0.22549876219600995,0.13033414695732684
371,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5412844036697247,0,0,0,0,0,0,0.28899082568807344,0.1564262267485902
394,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.596244131455399,0,0,0,0,0,0,0.20930834349931604,0.124798871476118
396,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5586854460093896,0,0,0,0,0,0,0.2723004694835681,0.15213030924199344
438,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.7264150943396226,0,0,0,0,0,0,0.1000367556971331,0.07266820932716272
428,"[15, 16, 17]",0.9575471698113207,0,0,0,0,0,0,0.0324147225578586,0.031038625845496676
420,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5613207547169812,0,0,0,0,0,0,0.268867924528302,0.1509211463154148
421,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
422,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
423,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
424,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",0.4858490566037736,0,0,0,0,0,0,0.268867924528302,0.1306292274830901
425,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.47641509433962265,0,0,0,0,0,0,0.268867924528302,0.12809273762904955
426,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.47641509433962265,0,0,0,0,0,0,0.268867924528302,0.12809273762904955
427,"[15, 16]",1.0,0,0,0,0,0,0,0.0,0.0
429,"[15, 16, 17, 18]",0.8066037735849056,0,0,0,0,0,0,0.023253889440582598,0.018756674973300115
418,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.5990566037735849,0,0,0,0,0,0,0.20587579854404991,0.1233312566749733
