,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
752,"[3, 10, 19]",0.2297872340425532,-0.09649220085727371,0.022172675941671407
1490,"[6, 13]",0.25673758865248225,0.08611418729594472,0.022108748795129068
1851,"[8, 13]",0.25673758865248225,0.08611418729594472,0.022108748795129068
1956,"[9, 10]",0.3333333333333333,-0.06611224406320974,0.02203741468773658
416,"[2, 7, 8]",0.451063829787234,0.04882071095378795,0.02202125685575116
750,"[3, 10, 12]",0.27375886524822696,-0.08018055242127296,0.021950137045823662
697,"[3, 7, 13]",0.25673758865248225,-0.08548862645884804,0.02194814381425744
1160,"[5, 6, 12]",0.27375886524822696,0.08013188249876574,0.021936813223066367
1199,"[5, 8, 12]",0.27375886524822696,0.08013188249876574,0.021936813223066367
714,"[3, 8, 11]",0.3078014184397163,-0.07078960837362426,0.021789141868193567
675,"[3, 6, 11]",0.3078014184397163,-0.07078960837362426,0.021789141868193567
990,"[4, 9, 21]",0.2028368794326241,-0.10682044601187739,0.021667125928650305
100,"[1, 6, 12]",0.27375886524822696,0.07912650489764346,0.021661582191837146
139,"[1, 8, 12]",0.27375886524822696,0.07912650489764346,0.021661582191837146
823,"[3, 20]",0.20425531914893616,-0.10570148207780362,0.021590089956317334
454,"[2, 9]",0.451063829787234,-0.047842984026074634,0.021580239603250687
1385,"[6, 7]",0.5134751773049645,0.041915292268320414,0.021522462129265233
1803,"[8, 10]",0.3333333333333333,0.0643909005908783,0.021463633530292767
1442,"[6, 10]",0.3333333333333333,0.0643909005908783,0.021463633530292767
1280,"[5, 13]",0.25673758865248225,0.08336693454869197,0.021403425749380492
1962,"[9, 10, 21]",0.2028368794326241,-0.10541633396946747,0.02138232022359411
330,"[2, 3, 8]",0.451063829787234,-0.04727565712881328,0.02132433896023067
841,"[3, 21, 27]",0.12056737588652482,-0.17655316802712695,0.02128655217348339
398,"[2, 6, 10]",0.3333333333333333,0.06380444983549322,0.021268149945164405
437,"[2, 8, 10]",0.3333333333333333,0.06380444983549322,0.021268149945164405
79,"[1, 5, 12]",0.27375886524822696,0.07729500306614162,0.021160192328745154
836,"[3, 21, 22]",0.14468085106382977,-0.145834213778761,0.02109941816373563
783,"[3, 12, 19]",0.2297872340425532,-0.091685674564693,0.021068197559546475
220,"[1, 13]",0.25673758865248225,0.08185886814700855,0.02101624841788446
767,"[3, 11, 13]",0.25673758865248225,-0.08183933213053034,0.02101123278812197
886,"[3, 27]",0.12056737588652482,-0.17281749514969902,0.02083615189748144
32,"[1, 3, 10]",0.3333333333333333,-0.06229204325286079,0.020764014417620262
377,"[2, 5, 10]",0.3333333333333333,0.06197294800399138,0.02065764933466379
1719,"[7, 21]",0.2028368794326241,-0.10144135108832293,0.02057604710018465
1232,"[5, 10]",0.3333333333333333,0.06164364784362556,0.02054788261454185
1412,"[6, 8, 20]",0.20425531914893616,0.10037395811648903,0.02050191484932542
653,"[3, 5, 10]",0.3333333333333333,-0.0612866656517385,0.020428888550579498
1993,"[9, 12, 21]",0.2028368794326241,-0.1006098076768867,0.020407379429496164
8,"[1, 2, 10]",0.3333333333333333,0.06096757040286909,0.02032252346762303
1517,"[6, 20]",0.20425531914893616,0.09921655070908161,0.020265508229940072
1878,"[8, 20]",0.20425531914893616,0.09921655070908161,0.020265508229940072
1408,"[6, 8, 11]",0.3078014184397163,0.06582241348429924,0.020260232235592816
743,"[3, 9, 27]",0.12056737588652482,-0.1679841688920901,0.020253410433798098
1202,"[5, 8, 20]",0.20425531914893616,0.09854245628498719,0.020127820858210146
1163,"[5, 6, 20]",0.20425531914893616,0.09854245628498719,0.020127820858210146
1175,"[5, 7]",0.5134751773049645,0.03916803952106766,0.020111816037768074
401,"[2, 6, 13]",0.25673758865248225,0.07828664097220416,0.020099123426906312
440,"[2, 8, 13]",0.25673758865248225,0.07828664097220416,0.020099123426906312
172,"[1, 10]",0.3333333333333333,0.060135581441942136,0.020045193813980712
27,"[1, 3, 5]",0.5163120567375886,-0.038591630190745616,0.01992532395664029
103,"[1, 6, 20]",0.20425531914893616,0.09753707868386491,0.019922467135427724
142,"[1, 8, 20]",0.20425531914893616,0.09753707868386491,0.019922467135427724
738,"[3, 9, 22]",0.14468085106382977,-0.13726521464372415,0.01985964807611328
674,"[3, 6, 10]",0.3333333333333333,-0.059455163820236676,0.01981838794007889
713,"[3, 8, 10]",0.3333333333333333,-0.059455163820236676,0.01981838794007889
1307,"[5, 20]",0.20425531914893616,0.09646929796182886,0.01970436724326717
1198,"[5, 8, 11]",0.3078014184397163,0.0639909116527974,0.01969649337398161
1159,"[5, 6, 11]",0.3078014184397163,0.0639909116527974,0.01969649337398161
380,"[2, 5, 13]",0.25673758865248225,0.07645513914070232,0.019628908063073925
1475,"[6, 12]",0.27375886524822696,0.07160069002974943,0.01960132365353424
1836,"[8, 12]",0.27375886524822696,0.07160069002974943,0.01960132365353424
82,"[1, 5, 20]",0.20425531914893616,0.09570557685236308,0.01954837314431246
2573,"[19, 21]",0.2028368794326241,-0.09622342598089507,0.019517659454280845
2299,"[11, 21]",0.2028368794326241,-0.09596740959584645,0.01946572988965396
247,"[1, 20]",0.20425531914893616,0.09496123156014545,0.019396336659093537
